,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.05, 0.025, 1.0, 0.95)",300.8863,267.4385000000002,338.2961,270.75570000000016,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.0, 0.96)",300.8863,267.4385000000002,338.2961,270.75570000000016,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.0, 0.97)",300.8863,267.4385000000002,338.2961,270.75570000000016,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.0, 0.98)",300.8863,267.4385000000002,338.2961,270.75570000000016,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.0, 0.99)",300.8863,267.4385000000002,338.2961,270.75570000000016,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.5, 0.95)",317.6034999999999,275.14925000000005,369.8274000000001,282.75799999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.5, 0.96)",317.6034999999999,275.14925000000005,369.8274000000001,282.75799999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.5, 0.97)",317.6034999999999,275.14925000000005,369.8274000000001,282.75799999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.5, 0.98)",317.6034999999999,275.14925000000005,369.8274000000001,282.75799999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 1.5, 0.99)",317.6034999999999,275.14925000000005,369.8274000000001,282.75799999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.0, 0.95)",330.66189999999995,282.12094999999994,384.48309999999987,296.12805000000003,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.0, 0.96)",330.66189999999995,282.12094999999994,384.48309999999987,296.12805000000003,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.0, 0.97)",330.66189999999995,282.12094999999994,384.48309999999987,296.12805000000003,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.0, 0.98)",330.66189999999995,282.12094999999994,384.48309999999987,296.12805000000003,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.0, 0.99)",330.66189999999995,282.12094999999994,384.48309999999987,296.12805000000003,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.5, 0.95)",340.8156499999999,288.2726000000001,383.9764500000001,308.5340500000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.5, 0.96)",340.8156499999999,288.2726000000001,383.9764500000001,308.5340500000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.5, 0.97)",340.8156499999999,288.2726000000001,383.9764500000001,308.5340500000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.5, 0.98)",340.8156499999999,288.2726000000001,383.9764500000001,308.5340500000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 2.5, 0.99)",340.8156499999999,288.2726000000001,383.9764500000001,308.5340500000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.0, 0.95)",350.0025499999999,294.36819999999994,382.56195,323.48864999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.0, 0.96)",350.0025499999999,294.36819999999994,382.56195,323.48864999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.0, 0.97)",350.0025499999999,294.36819999999994,382.56195,323.48864999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.0, 0.98)",350.0025499999999,294.36819999999994,382.56195,323.48864999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.0, 0.99)",350.0025499999999,294.36819999999994,382.56195,323.48864999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.5, 0.95)",357.16519999999946,298.7536499999999,376.30909999999994,335.49225000000007,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.5, 0.96)",357.16519999999946,298.7536499999999,376.30909999999994,335.49225000000007,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.5, 0.97)",357.16519999999946,298.7536499999999,376.30909999999994,335.49225000000007,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.5, 0.98)",357.16519999999946,298.7536499999999,376.30909999999994,335.49225000000007,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 3.5, 0.99)",357.16519999999946,298.7536499999999,376.30909999999994,335.49225000000007,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.0, 0.95)",362.74185000000017,304.55519999999996,367.9254499999997,347.1573000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.0, 0.96)",362.74185000000017,304.55519999999996,367.9254499999997,347.1573000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.0, 0.97)",362.74185000000017,304.55519999999996,367.9254499999997,347.1573000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.0, 0.98)",362.74185000000017,304.55519999999996,367.9254499999997,347.1573000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.0, 0.99)",362.74185000000017,304.55519999999996,367.9254499999997,347.1573000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.5, 0.95)",367.2728499999999,308.8537000000002,360.6362,354.75314999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.5, 0.96)",367.2728499999999,308.8537000000002,360.6362,354.75314999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.5, 0.97)",367.2728499999999,308.8537000000002,360.6362,354.75314999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.5, 0.98)",367.2728499999999,308.8537000000002,360.6362,354.75314999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 4.5, 0.99)",367.2728499999999,308.8537000000002,360.6362,354.75314999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.0, 0.95)",371.9808499999997,313.57615,359.90350000000007,363.48734999999994,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.0, 0.96)",371.9808499999997,313.57615,359.90350000000007,363.48734999999994,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.0, 0.97)",371.9808499999997,313.57615,359.90350000000007,363.48734999999994,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.0, 0.98)",371.9808499999997,313.57615,359.90350000000007,363.48734999999994,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.0, 0.99)",371.9808499999997,313.57615,359.90350000000007,363.48734999999994,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.5, 0.95)",377.5150000000001,317.4081,365.0822999999998,370.8548499999999,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.5, 0.96)",377.5150000000001,317.4081,365.0822999999998,370.8548499999999,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.5, 0.97)",377.5150000000001,317.4081,365.0822999999998,370.8548499999999,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
