,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.05, 0.025, 1.0, 0.95)",61.979,56.66349999999998,60.83649999999998,66.43250000000002,63.647000000000006,62.21299999999999,65.24549999999998,70.47905,51.193400000000004,51.84315,48.19185000000002,49.79204999999998
"(0.05, 0.025, 1.0, 0.96)",61.97249999999999,56.95649999999999,60.82949999999998,66.36150000000004,63.56200000000001,63.2921,65.24954999999999,70.06815,51.14299999999999,51.83394999999998,48.22420000000002,49.8043
"(0.05, 0.025, 1.0, 0.97)",61.933499999999995,57.241500000000016,60.35499999999999,66.29300000000002,63.21650000000002,64.6647,65.27199999999999,70.65129999999999,51.12400000000002,51.860150000000004,47.43889999999996,49.30345000000003
"(0.05, 0.025, 1.0, 0.98)",61.85349999999999,57.629999999999995,60.35599999999999,66.20950000000002,63.342249999999986,65.72370000000002,65.27339999999998,70.23365,51.118199999999995,51.86789999999998,48.38744999999998,49.032
"(0.05, 0.025, 1.0, 0.99)",61.82950000000002,58.07500000000004,60.353999999999985,66.06149999999997,63.349549999999994,67.46755000000006,65.26695000000001,69.75295000000004,50.78014999999998,51.8651,48.655400000000014,48.89914999999999
"(0.05, 0.025, 1.5, 0.95)",72.25200000000005,62.440499999999986,59.39350000000001,65.4335,73.78015000000005,73.53905000000002,65.81230000000004,70.17695000000003,49.09299999999997,52.07155000000001,48.38995000000002,46.57289999999999
"(0.05, 0.025, 1.5, 0.96)",72.37300000000006,63.15850000000002,59.39600000000001,64.9585,73.82354999999998,74.66850000000001,65.81600000000005,69.77205000000002,48.82580000000002,52.187649999999984,48.621950000000034,45.79694999999999
"(0.05, 0.025, 1.5, 0.97)",72.479,63.83499999999999,59.396000000000015,64.923,73.18079999999996,76.10120000000005,65.32390000000005,69.76660000000001,48.09855,52.14620000000003,48.50575,47.13920000000003
"(0.05, 0.025, 1.5, 0.98)",72.11499999999997,64.74349999999998,59.39550000000001,64.62599999999998,72.38415000000002,76.92369999999998,65.32230000000006,69.79994999999998,47.70019999999999,52.0571,47.711449999999985,46.965349999999994
"(0.05, 0.025, 1.5, 0.99)",72.29950000000004,65.65049999999997,58.911000000000016,64.24799999999999,73.13545000000002,77.88765000000005,64.83195000000005,70.24574999999996,47.761649999999996,52.20240000000003,48.450899999999955,46.719249999999946
"(0.05, 0.025, 2.0, 0.95)",76.96450000000004,69.31099999999998,59.91950000000002,61.09399999999998,73.05104999999999,79.20655000000002,65.29090000000004,69.4373,45.5588,52.021749999999976,49.883299999999984,49.09515000000001
"(0.05, 0.025, 2.0, 0.96)",76.67450000000001,70.4155,59.92200000000002,61.07749999999997,71.3447,80.1428,64.33155000000004,69.39874999999999,45.99274999999999,52.04235000000002,48.99975,49.4954
"(0.05, 0.025, 2.0, 0.97)",76.661,71.383,59.91750000000001,60.60749999999999,71.22820000000002,80.33260000000001,64.33350000000003,69.39590000000001,46.44439999999997,52.05040000000003,48.8647,48.79365000000001
"(0.05, 0.025, 2.0, 0.98)",76.05199999999998,72.26800000000003,59.42950000000002,60.57649999999999,69.74709999999999,81.10185000000001,63.34515000000002,69.38015,46.969150000000006,52.06895000000001,48.72885,48.33639999999999
"(0.05, 0.025, 2.0, 0.99)",75.66200000000003,73.35500000000002,59.42900000000002,60.56999999999997,70.11869999999999,81.74240000000003,62.86590000000002,68.47545000000004,46.59120000000001,52.22179999999999,49.336649999999985,48.5719
"(0.05, 0.025, 2.5, 0.95)",76.61399999999999,74.64899999999999,59.44600000000001,59.777000000000015,72.30270000000004,82.52035,62.366549999999975,65.2008,45.86649999999996,51.89490000000001,49.873750000000015,49.49074999999998
"(0.05, 0.025, 2.5, 0.96)",76.18150000000003,75.47250000000003,59.44450000000001,59.760000000000005,72.79435000000001,82.31095,62.37264999999996,65.19030000000001,45.507149999999974,51.73300000000002,49.34974999999997,49.649049999999974
"(0.05, 0.025, 2.5, 0.97)",75.84500000000001,76.21199999999999,59.4425,59.749500000000005,71.3135,81.99135000000003,62.37264999999996,64.7111,46.81145000000001,51.53295000000001,49.27839999999999,48.99559999999995
