ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
884.57,993.2
890.11,998.55
912.58,998.83
18.51,999.41
18.03,999.65
502.31,999.77
504.47,999.84
503.86,999.88
513.5,999.91
354.9,999.93
351.95,999.95
352.92,999.96
508.88,999.97
508.5,999.98
509.43,999.98
508.97,999.99
510.27,999.99
510.23,999.99
878.54,993.13
838.1,997.52
7.24,996.8
7.01,997.88
366.07,998.29
7.51,998.77
457.95,999.08
531.33,999.3
552.21,999.45
508.3,999.58
508.32,999.66
510.68,999.73
509.29,579.18
510.39,596.62
509.51,596.58
510.13,596.55
510.52,596.53
512.85,596.51
902.31,995.13
889.67,996.63
6.88,997.76
6.78,998.16
4.77,990.66
676.32,991.19
3.54,991.51
812.73,991.72
812.58,991.86
813.95,991.97
497.16,992.06
4.9,992.13
5.12,992.18
4.22,992.23
4.45,992.27
4.06,992.3
3.91,992.33
3.39,992.36
729.65,993.85
816.17,997.17
553.25,997.39
672.86,998.42
4.13,997.71
3.33,998.48
3.16,997.86
3.38,988.59
2.82,971.49
783.99,971.65
633.87,971.76
3.45,314.9
6.07,314.79
5.38,314.7
5.18,314.62
4.91,314.56
3.89,314.5
3.75,314.44
788.12,991.67
815.32,996.1
654.13,997.61
6.01,997.88
4.21,998.5
3.81,355.71
3.35,940.4
2.97,941.53
2.69,997.51
2.65,282.32
2.65,282.3
3.82,282.29
5.16,282.28
2.69,733.41
3.9,733.42
3.53,733.42
3.4,733.42
3.29,732.8
884.69,986.13
908.45,994.9
821.55,996.81
7.64,996.66
3.49,998.03
3.1,998.44
2.91,937.14
2.69,938.78
2.47,990.67
2.48,984.42
2.5,984.7
2.42,984.9
3.2,985.06
2.86,985.18
2.31,996.76
2.34,996.9
2.36,997.02
2.35,997.13
889.53,988.94
910.32,992.31
817.76,996.46
799.78,905.86
3.48,997.01
3.62,997.98
2.54,998.27
2.44,989.65
2.46,938.7
2.27,937.24
2.23,983.84
2.36,984.16
2.94,984.41
2.85,984.6
2.45,984.75
2.2,984.88
2.2,984.98
2.18,985.06
742.77,986.76
702.74,984.52
817.36,995.01
829.41,996.51
848.33,996.72
7.49,995.47
2.9,997.78
2.59,997.98
2.22,68.92
2.28,404.74
2.12,151.23
2.26,983.06
2.32,983.41
2.25,983.7
2.2,983.92
2.37,984.11
2.11,984.26
2.13,984.39
824.17,984.33
890.28,985.76
158.55,987.29
848.38,995.67
7.18,996.47
7.18,996.33
3.22,792.92
2.77,995.48
2.48,996.17
2.25,996.62
2.2,996.92
2.13,997.13
2.19,997.28
2.14,996.81
2.29,997.06
2.19,982.91
2.12,983.13
2.1,983.32
790.81,980.67
803.92,981.51
781.13,985.29
853.98,994.03
40.94,995.7
844.9,996.22
7.22,995.8
3.04,832.33
2.59,812.71
2.33,813.1
2.21,995.41
2.16,995.85
2.16,996.17
2.21,996.41
2.13,996.6
2.09,996.74
2.14,996.85
2.09,996.94
446.27,962.36
889.21,981.37
46.67,985.97
854.12,985.57
850.35,994.21
7.19,995.46
6.86,995.86
3.11,996.26
2.85,995.59
2.5,995.71
2.38,65.91
2.27,68.26
2.27,962.23
2.14,962.71
2.24,994.9
2.18,995.21
2.12,995.46
2.14,995.66
637.49,963.79
74.03,982.37
51.24,985.3
43.85,992.63
840.35,952.22
7.79,829.39
6.46,994.98
6.41,995.6
2.96,995.77
2.69,996.02
2.41,996.17
2.5,995.05
2.21,995.3
2.17,319.19
2.11,318.62
2.22,318.14
2.17,318.17
2.46,317.79
724.61,956.11
890.75,979.17
936.83,976.83
799.97,983.34
609.08,992.77
23.98,945.5
5.52,947.8
5.9,994.11
2.89,994.86
2.64,995.3
2.41,995.38
2.29,995.61
2.24,995.76
2.15,995.85
2.14,995.9
2.08,56.02
1.48,55.91
1.33,962.71
770.88,954.52
895.36,976.96
866.2,977.4
859.32,958.46
939.55,860.18
624.87,816.69
6.77,993.58
3.61,932.69
3.23,938.7
2.74,940.11
2.5,994.09
2.38,994.58
2.24,994.91
2.34,995.13
2.41,995.1
1.33,995.25
1.26,995.36
1.9,995.43
127.14,954.98
806.22,976.53
778.04,975.63
32.8,915.36
472.13,813.33
3.5,814.35
2.76,949.48
2.92,992.74
3.41,954.92
2.76,960.09
2.58,961.66
2.49,962.86
2.35,993.34
2.25,993.74
1.38,994.03
1.49,994.23
1.57,994.2
1.87,994.34
775.82,957.48
853.13,971.23
39.08,966.95
37.72,960.95
838.0,946.76
217.33,948.29
6.39,943.74
4.92,946.82
3.92,969.32
2.77,971.15
3.95,970.52
2.48,992.26
2.33,992.75
1.65,592.43
1.58,935.72
1.53,936.73
1.35,937.58
1.29,938.29
904.13,952.41
950.82,978.31
960.64,978.39
5.87,943.52
919.7,37.53
341.81,952.97
6.99,863.98
5.93,772.37
3.53,775.06
2.96,294.64
2.75,731.14
3.39,711.17
2.43,722.36
2.27,562.19
1.98,574.06
1.68,574.36
1.79,583.6
1.58,40.27
800.86,947.94
954.71,975.92
948.26,960.46
4.51,979.12
914.51,976.88
32.34,945.48
4.4,945.25
6.0,945.63
9.16,24.29
5.52,731.39
4.52,697.93
3.83,700.36
2.71,701.32
2.59,705.54
2.2,706.08
1.59,707.2
2.99,88.58
2.02,10.71
811.18,983.76
12.77,958.49
716.64,958.97
47.81,935.16
544.95,974.67
920.71,976.6
7.05,972.56
4.35,548.93
3.64,527.92
6.25,579.63
9.46,534.46
5.21,714.69
4.07,572.37
3.7,51.79
2.81,11.12
2.43,10.58
2.46,65.62
2.49,10.81
