,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.05, 1.0)",695.7428999999996,907.8080999999996
"(0.05, 1.5)",665.9516999999998,897.6047999999998
"(0.05, 2.0)",658.2481000000002,889.0332000000001
"(0.05, 2.5)",653.7087999999998,854.9758999999999
"(0.05, 3.0)",602.1776000000004,838.3769000000002
"(0.05, 3.5)",575.2691000000002,803.1838999999999
"(0.05, 4.0)",594.7552000000003,798.6748999999999
"(0.05, 4.5)",528.6055,784.1919999999999
"(0.05, 5.0)",575.0610000000001,783.5224999999999
"(0.05, 5.5)",556.2132,781.0714999999998
"(0.05, 6.0)",545.6049999999999,774.4301000000003
"(0.05, 6.5)",537.7703000000001,764.8056
"(0.05, 7.0)",542.8709000000001,764.8373999999999
"(0.05, 7.5)",564.3839000000003,768.0549000000003
"(0.05, 8.0)",554.8886000000001,756.3777000000005
"(0.05, 8.5)",578.6619000000002,746.7173000000005
"(0.05, 9.0)",590.5432000000001,746.7038000000001
"(0.05, 9.5)",542.5362,746.7021000000003
"(0.1, 1.0)",697.5452999999999,905.1202999999998
"(0.1, 1.5)",677.3607000000001,903.1675000000001
"(0.1, 2.0)",639.9312000000003,863.169
"(0.1, 2.5)",571.7796,857.6259000000001
"(0.1, 3.0)",580.9004,859.6965
"(0.1, 3.5)",499.6098000000001,853.9592
"(0.1, 4.0)",509.69909999999993,850.188
"(0.1, 4.5)",515.1472000000001,845.9911000000002
"(0.1, 5.0)",542.0649,842.1358000000002
"(0.1, 5.5)",507.2343999999999,847.3526000000002
"(0.1, 6.0)",570.9228999999999,825.3171999999998
"(0.1, 6.5)",491.25189999999986,824.3448999999999
"(0.1, 7.0)",507.2177999999999,810.0654000000003
"(0.1, 7.5)",529.0215999999998,815.8478000000001
"(0.1, 8.0)",494.8315000000001,810.6359999999997
"(0.1, 8.5)",483.7937999999998,813.2643999999999
"(0.1, 9.0)",502.65800000000013,821.4545999999997
"(0.1, 9.5)",456.47580000000005,816.2519000000001
"(0.15, 1.0)",653.7717,906.3695000000001
"(0.15, 1.5)",645.7569,886.4660000000001
"(0.15, 2.0)",585.0298,909.5808000000001
"(0.15, 2.5)",602.9616999999997,838.9147
"(0.15, 3.0)",541.3807999999999,875.6347000000004
"(0.15, 3.5)",518.6680000000003,870.7147000000006
"(0.15, 4.0)",566.3731,813.2836
"(0.15, 4.5)",528.2524000000002,841.6884000000001
"(0.15, 5.0)",525.5287999999996,848.6626000000002
"(0.15, 5.5)",579.6781,826.5547000000001
"(0.15, 6.0)",518.0062999999999,806.6604000000002
"(0.15, 6.5)",505.55559999999986,798.0005999999997
