,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.05, 1.0)",69574.29,90780.81
"(0.05, 1.5)",66595.16999999998,89760.48000000004
"(0.05, 2.0)",65824.81000000001,88903.32
"(0.05, 2.5)",65370.88000000002,85497.58999999997
"(0.05, 3.0)",60217.75999999997,83837.69
"(0.05, 3.5)",57526.90999999998,80318.38999999997
"(0.05, 4.0)",59475.51999999998,79867.49
"(0.05, 4.5)",52860.55000000001,78419.20000000001
"(0.05, 5.0)",57506.10000000003,78352.24999999997
"(0.05, 5.5)",55621.320000000014,78107.15000000001
"(0.05, 6.0)",54560.499999999985,77443.01000000001
"(0.05, 6.5)",53777.02999999999,76480.55999999998
"(0.05, 7.0)",54287.08999999998,76483.74000000003
"(0.05, 7.5)",56438.39,76805.49
"(0.05, 8.0)",55488.86000000001,75637.77000000006
"(0.05, 8.5)",57866.189999999995,74671.72999999998
"(0.05, 9.0)",59054.31999999997,74670.37999999996
"(0.05, 9.5)",54253.62000000001,74670.20999999996
"(0.1, 1.0)",69754.53000000003,90512.02999999997
"(0.1, 1.5)",67736.06999999998,90316.74999999999
"(0.1, 2.0)",63993.12000000001,86316.90000000001
"(0.1, 2.5)",57177.960000000014,85762.59
"(0.1, 3.0)",58090.04000000001,85969.65000000004
"(0.1, 3.5)",49960.98,85395.92
"(0.1, 4.0)",50969.90999999999,85018.80000000003
"(0.1, 4.5)",51514.720000000016,84599.11000000002
"(0.1, 5.0)",54206.490000000005,84213.58000000003
"(0.1, 5.5)",50723.43999999999,84735.26000000002
"(0.1, 6.0)",57092.289999999964,82531.71999999996
"(0.1, 6.5)",49125.18999999999,82434.49
"(0.1, 7.0)",50721.78000000001,81006.53999999998
"(0.1, 7.5)",52902.159999999974,81584.78000000004
"(0.1, 8.0)",49483.150000000016,81063.60000000002
"(0.1, 8.5)",48379.38,81326.44000000003
"(0.1, 9.0)",50265.799999999996,82145.45999999999
"(0.1, 9.5)",45647.57999999997,81625.19
"(0.15, 1.0)",65377.16999999999,90636.94999999998
"(0.15, 1.5)",64575.68999999998,88646.6
"(0.15, 2.0)",58502.98,90958.07999999999
"(0.15, 2.5)",60296.17000000001,83891.46999999997
"(0.15, 3.0)",54138.08000000001,87563.47000000003
"(0.15, 3.5)",51866.8,87071.47
"(0.15, 4.0)",56637.31000000001,81328.35999999997
"(0.15, 4.5)",52825.24000000003,84168.84
"(0.15, 5.0)",52552.88000000002,84866.26
"(0.15, 5.5)",57967.81,82655.46999999996
"(0.15, 6.0)",51800.63,80666.03999999998
"(0.15, 6.5)",50555.56,79800.06
"(0.15, 7.0)",52095.76999999998,79659.74000000002
"(0.15, 7.5)",47598.209999999985,78922.21
"(0.15, 8.0)",52148.09999999998,78643.23000000001
"(0.15, 8.5)",48527.35999999998,77916.52000000002
"(0.15, 9.0)",52418.669999999984,78821.32
"(0.15, 9.5)",50704.16999999999,78917.85
"(0.2, 1.0)",68346.54000000001,91158.71999999996
"(0.2, 1.5)",64950.290000000015,87563.98999999998
"(0.2, 2.0)",60700.65000000003,87895.76000000001
"(0.2, 2.5)",54825.789999999986,85662.77000000002
"(0.2, 3.0)",54622.15,84801.65999999996
"(0.2, 3.5)",53557.07000000001,83048.75999999997
"(0.2, 4.0)",48614.84,85261.55999999998
"(0.2, 4.5)",48842.030000000006,82856.75
"(0.2, 5.0)",48341.44000000001,81899.22999999997
"(0.2, 5.5)",49469.16,81626.48999999998
"(0.2, 6.0)",47520.08000000002,82624.98999999999
"(0.2, 6.5)",49451.629999999976,80540.76999999997
"(0.2, 7.0)",51256.549999999996,80236.30999999998
"(0.2, 7.5)",50851.84,80477.57999999999
"(0.2, 8.0)",50037.499999999985,79413.06000000001
"(0.2, 8.5)",48949.24,77839.42999999998
"(0.2, 9.0)",48309.69000000001,79336.29000000001
"(0.2, 9.5)",47359.66999999999,78056.04000000001
"(0.25, 1.0)",66286.46000000002,90590.97999999994
"(0.25, 1.5)",61439.620000000024,86145.12999999996
"(0.25, 2.0)",55901.48999999999,82333.49999999997
"(0.25, 2.5)",56304.499999999985,79541.36
"(0.25, 3.0)",54029.30999999998,82744.97
"(0.25, 3.5)",51342.85999999998,83677.81999999999
"(0.25, 4.0)",49063.380000000005,82177.95
"(0.25, 4.5)",49638.650000000016,80540.52999999994
"(0.25, 5.0)",47943.38999999999,77961.55999999997
"(0.25, 5.5)",49145.770000000004,74160.07999999996
"(0.25, 6.0)",48495.879999999976,79005.41999999998
"(0.25, 6.5)",49399.21,79824.38000000003
"(0.25, 7.0)",53320.95999999999,83168.66999999997
"(0.25, 7.5)",49500.709999999985,82610.08
"(0.25, 8.0)",47760.840000000004,82900.19
"(0.25, 8.5)",46880.02000000001,81859.14999999998
"(0.25, 9.0)",47841.84999999999,81025.03000000003
"(0.25, 9.5)",46652.599999999984,77911.42000000003
"(0.3, 1.0)",68969.74,89213.32000000002
"(0.3, 1.5)",62866.58,85860.59000000004
"(0.3, 2.0)",54915.680000000015,81080.23999999996
"(0.3, 2.5)",54602.710000000014,80014.28
"(0.3, 3.0)",54254.570000000014,80148.25000000006
"(0.3, 3.5)",56931.66999999999,84698.36
"(0.3, 4.0)",51966.759999999995,79645.68
"(0.3, 4.5)",51326.780000000006,82575.20999999999
"(0.3, 5.0)",48135.80000000003,78891.89000000001
"(0.3, 5.5)",50695.80000000002,78071.94
"(0.3, 6.0)",47393.959999999985,80814.72000000004
"(0.3, 6.5)",46172.53000000001,79207.31000000003
"(0.3, 7.0)",47742.259999999995,80741.3
"(0.3, 7.5)",49659.10000000001,84025.47
"(0.3, 8.0)",45044.020000000004,82652.79000000002
"(0.3, 8.5)",47375.08999999999,79785.62000000001
"(0.3, 9.0)",45327.75,80087.59999999999
"(0.3, 9.5)",46697.6,79368.55000000002
"(0.35, 1.0)",64704.87999999999,89672.66000000005
"(0.35, 1.5)",60467.78,85373.29000000001
"(0.35, 2.0)",58810.79000000003,83026.20999999999
"(0.35, 2.5)",55973.570000000014,83028.66999999998
"(0.35, 3.0)",56001.40999999999,81065.42999999998
"(0.35, 3.5)",52144.259999999995,81135.8
"(0.35, 4.0)",55327.72000000001,81388.66
"(0.35, 4.5)",51167.780000000006,79184.95999999999
"(0.35, 5.0)",51561.090000000004,82479.84999999999
"(0.35, 5.5)",46948.11999999997,82816.27000000003
"(0.35, 6.0)",44096.369999999995,79544.66
"(0.35, 6.5)",44378.2,76556.54000000005
"(0.35, 7.0)",44768.430000000015,77736.56
"(0.35, 7.5)",42249.26000000002,77451.28
"(0.35, 8.0)",46004.840000000004,78813.26000000001
"(0.35, 8.5)",43198.95,78444.62
"(0.35, 9.0)",44536.64999999999,76844.94000000003
"(0.35, 9.5)",45345.01999999998,75181.75999999997
"(0.4, 1.0)",62293.13000000001,87192.73999999995
"(0.4, 1.5)",61027.34,85231.43000000002
"(0.4, 2.0)",55007.81999999996,84336.34999999998
"(0.4, 2.5)",50779.72999999998,79153.38999999996
"(0.4, 3.0)",51949.51000000003,78442.98000000001
"(0.4, 3.5)",52334.600000000006,77888.49
"(0.4, 4.0)",51446.4,78377.38
"(0.4, 4.5)",50979.359999999986,77193.47999999998
"(0.4, 5.0)",49025.66,79975.58999999995
"(0.4, 5.5)",46315.3,78018.32999999999
"(0.4, 6.0)",44327.48999999999,79212.18
"(0.4, 6.5)",44184.80999999999,78758.68999999997
"(0.4, 7.0)",46084.960000000014,77198.77
"(0.4, 7.5)",43337.60000000001,75363.67999999996
"(0.4, 8.0)",44316.89999999999,76202.90000000001
"(0.4, 8.5)",43571.33999999998,77146.17999999998
"(0.4, 9.0)",48083.24999999998,78474.76999999997
"(0.4, 9.5)",43711.409999999996,77335.71999999999
"(0.45, 1.0)",65874.55000000002,86211.93000000002
"(0.45, 1.5)",55470.18999999999,86632.51999999997
"(0.45, 2.0)",56916.369999999995,84376.35
"(0.45, 2.5)",52629.50999999999,81762.08999999997
"(0.45, 3.0)",52043.24000000001,77767.71
"(0.45, 3.5)",56263.89999999997,78997.31
"(0.45, 4.0)",49311.23000000002,76844.45
"(0.45, 4.5)",50802.79999999999,81133.08999999997
"(0.45, 5.0)",46380.159999999996,78970.45999999999
"(0.45, 5.5)",44310.42,78055.71
"(0.45, 6.0)",48395.53,75509.62
"(0.45, 6.5)",43076.60999999999,77590.37999999998
"(0.45, 7.0)",45687.20999999999,76018.65999999999
"(0.45, 7.5)",48279.01999999998,78447.59000000004
"(0.45, 8.0)",46133.290000000015,82467.39
"(0.45, 8.5)",47665.78999999999,82156.78
"(0.45, 9.0)",46354.48000000002,81633.28999999998
"(0.45, 9.5)",45320.20999999999,81262.01000000001
"(0.5, 1.0)",62846.91000000002,86920.84999999996
"(0.5, 1.5)",57013.79000000001,83623.36000000002
"(0.5, 2.0)",52187.9,81054.06000000001
"(0.5, 2.5)",56333.439999999995,83605.43999999997
"(0.5, 3.0)",52345.28000000002,77598.03000000001
"(0.5, 3.5)",49151.43000000001,74789.15000000002
"(0.5, 4.0)",44206.24000000001,74183.79000000001
"(0.5, 4.5)",47244.34000000001,78052.06
"(0.5, 5.0)",45860.779999999984,77396.50000000003
"(0.5, 5.5)",46743.369999999995,76622.15000000002
"(0.5, 6.0)",45881.88999999999,75931.45999999999
"(0.5, 6.5)",47799.840000000004,75248.96999999997
"(0.5, 7.0)",47508.50999999997,73854.01
"(0.5, 7.5)",45160.04000000002,75643.44999999998
"(0.5, 8.0)",46573.26999999999,73800.06000000001
"(0.5, 8.5)",43855.57999999999,78241.56000000001
"(0.5, 9.0)",43091.110000000015,80582.63000000006
"(0.5, 9.5)",44874.790000000015,78928.84000000001
"(0.55, 1.0)",58600.509999999995,87264.35999999996
"(0.55, 1.5)",58603.38999999999,84622.45000000001
"(0.55, 2.0)",51634.57999999998,78631.22999999998
"(0.55, 2.5)",51388.38000000001,83263.86
"(0.55, 3.0)",49140.2,78055.19
"(0.55, 3.5)",51077.170000000006,75247.48999999996
"(0.55, 4.0)",45270.48999999998,75435.97000000002
"(0.55, 4.5)",42866.62,76374.09
"(0.55, 5.0)",42526.36999999999,74422.32999999999
"(0.55, 5.5)",47836.340000000004,73858.1
"(0.55, 6.0)",47748.810000000005,75101.2
"(0.55, 6.5)",46692.60000000002,72706.52000000003
"(0.55, 7.0)",44402.33,72050.43999999996
"(0.55, 7.5)",45567.189999999995,75186.34000000001
"(0.55, 8.0)",40574.80999999998,75322.60000000002
"(0.55, 8.5)",43445.15,77736.23000000004
"(0.55, 9.0)",40972.37000000001,80630.78
"(0.55, 9.5)",41603.43999999999,80422.43999999999
