OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
243.14,348.48,542.83,682.09
270.02,438.77,583.97,575.62
288.2,557.18,613.14,358.36
313.44,670.77,649.24,187.09
332.01,702.63,677.47,178.98
354.32,723.53,683.34,200.4
367.19,738.53,699.28,210.31
398.38,772.43,612.15,216.41
455.1,794.81,515.01,96.41
466.01,814.77,538.53,43.67
567.53,821.96,534.04,25.4
502.05,822.9,556.93,14.67
635.34,830.17,527.5,9.86
655.72,843.59,150.06,7.31
680.31,844.39,158.46,5.51
692.93,844.29,126.61,2.37
698.38,859.47,87.54,1.9
709.57,858.47,72.54,1.56
714.44,868.68,69.41,1.33
242.88,349.3,547.37,681.95
269.67,447.42,566.72,732.32
289.05,601.43,624.07,520.94
315.34,682.75,656.33,557.6
336.14,711.08,673.96,658.34
358.9,755.57,689.93,707.59
382.9,772.29,706.89,743.46
408.56,810.52,714.17,806.58
467.41,815.48,628.02,630.84
496.2,819.18,629.68,288.69
616.07,823.66,623.13,718.61
633.71,839.89,596.48,316.03
674.1,841.76,594.07,253.11
682.34,847.25,225.89,129.34
690.81,851.63,218.89,107.48
702.91,854.86,192.63,69.52
706.21,863.14,601.49,67.5
720.23,867.7,231.69,59.69
716.91,866.34,217.3,8.84
242.32,346.39,553.66,691.03
268.19,447.8,571.31,745.3
288.55,626.15,628.22,700.33
314.39,682.09,659.4,577.17
336.03,710.89,684.07,609.63
359.73,747.96,702.01,485.81
384.43,775.41,721.87,832.17
409.08,804.38,735.0,819.43
474.43,811.38,765.41,804.9
489.41,817.48,694.77,796.29
500.46,826.11,700.41,811.57
645.59,826.96,699.28,790.13
676.41,838.74,696.57,842.28
680.86,842.85,663.06,905.81
694.43,841.95,593.96,869.99
700.1,856.46,610.4,864.69
732.32,859.02,612.61,824.37
739.8,857.35,606.17,826.49
738.18,857.2,222.03,829.85
288.2,578.76,614.75,528.04
331.97,703.02,679.48,614.64
367.11,740.28,701.58,230.65
454.98,776.67,516.82,81.85
567.49,822.67,535.75,21.53
635.57,836.8,530.03,8.09
680.21,844.14,174.85,4.52
698.12,868.3,87.64,1.63
714.07,866.11,69.55,1.19
714.91,877.82,215.24,0.95
722.53,883.39,104.33,0.81
729.88,852.93,75.22,0.72
747.53,892.03,69.26,0.66
742.59,889.96,59.15,0.61
749.74,870.0,36.7,0.57
784.94,913.53,9.1,0.53
786.31,918.92,7.04,0.5
825.55,888.69,5.52,0.48
776.37,910.01,4.36,0.45
289.06,596.51,625.45,557.09
336.12,706.17,674.69,435.55
382.84,770.24,707.87,782.19
467.35,814.0,628.97,700.12
616.62,825.54,624.01,358.83
674.87,846.26,595.04,298.9
693.87,852.43,218.15,222.84
706.23,864.62,603.18,66.35
716.68,869.02,219.32,8.72
750.63,872.54,234.61,5.65
744.93,881.99,230.19,3.78
752.32,885.45,742.07,2.61
770.42,905.01,744.61,1.87
766.84,901.81,631.76,1.39
810.53,913.14,318.01,1.08
822.31,912.63,430.73,0.88
819.02,929.69,68.45,0.74
822.42,921.06,72.79,0.65
823.65,920.96,64.9,0.58
288.61,593.56,628.32,624.51
