,OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
"(0.95, 0.025, 9.0)",680.1677200000005,600.0977400000006,613.7174499999994,640.3188699999998
"(0.95, 0.025, 9.5)",674.5796000000005,603.1615600000001,613.7160400000002,640.3187199999999
"(0.95, 0.025, 10.0)",660.3785800000002,600.5985299999991,613.7154200000001,641.2618600000002
"(0.95, 0.05, 9.0)",548.8271899999999,484.8467299999999,632.0461699999998,707.6232199999996
"(0.95, 0.05, 9.5)",542.0283099999997,472.3877000000001,631.1280099999998,706.8665699999999
"(0.95, 0.05, 10.0)",544.5894599999997,464.7212599999999,630.1470100000001,706.9264400000002
"(0.95, 0.1, 9.0)",455.1261999999997,352.36667,676.7834800000015,841.5363800000014
"(0.95, 0.1, 9.5)",446.1452800000009,349.37107000000026,672.4825400000001,841.9946799999998
"(0.95, 0.1, 10.0)",431.8882900000008,348.41582000000045,667.0427599999998,836.7739499999992
"(1.0, 0.025, 9.0)",663.20971,599.4267100000005,615.6804599999995,640.4364899999998
"(1.0, 0.025, 9.5)",656.5244900000016,595.2388200000004,614.71243,639.4695300000004
"(1.0, 0.025, 10.0)",666.5471099999993,591.4768399999991,615.70711,638.50391
"(1.0, 0.05, 9.0)",541.2109000000003,469.7244699999996,633.47287,728.0240299999992
"(1.0, 0.05, 9.5)",533.2473499999995,475.1895700000005,632.9505199999999,724.5129999999994
"(1.0, 0.05, 10.0)",537.1644700000004,482.03328000000005,630.5731599999996,724.2307599999993
"(1.0, 0.1, 9.0)",445.7658299999999,358.17989000000017,687.4280100000007,868.5562100000006
"(1.0, 0.1, 9.5)",435.57226000000014,360.1739399999997,678.2642299999998,866.2256599999996
"(1.0, 0.1, 10.0)",427.40920999999986,357.22246000000035,675.1371299999996,862.8277400000001
