OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
18.8,15.5,55.7,66.7
18.0,12.9,57.3,72.3
17.4,9.9,60.3,68.0
16.7,9.1,61.4,41.5
17.5,9.4,61.6,47.7
16.9,9.7,70.1,41.5
16.7,8.8,71.4,44.3
16.3,12.8,72.0,35.1
16.1,12.9,72.1,30.4
15.8,20.5,72.6,7.7
15.6,23.3,73.1,2.0
15.2,26.4,48.0,1.8
15.0,15.9,53.2,0.9
15.0,28.7,46.6,0.8
14.9,30.2,42.6,0.6
14.6,30.8,13.0,0.1
14.5,23.8,8.7,0.1
14.3,38.9,9.1,0.1
14.5,6.7,5.3,0.1
18.5,15.0,55.7,62.2
17.7,12.0,57.1,72.5
17.0,8.6,58.9,71.4
16.2,8.3,60.2,72.8
16.7,8.8,62.6,75.7
16.3,8.1,66.1,59.7
16.0,5.8,67.1,50.7
15.4,8.5,72.0,76.1
15.3,8.4,72.6,62.0
15.0,8.7,73.6,44.7
14.6,5.3,68.1,32.5
13.4,5.1,69.2,20.3
13.3,15.2,73.8,16.2
12.8,7.4,72.2,20.2
11.9,5.1,72.8,20.4
11.5,4.9,35.1,18.2
12.2,4.5,37.5,0.6
10.8,4.4,39.5,0.4
11.1,4.5,35.9,0.1
18.1,13.5,55.8,64.3
17.3,9.9,57.1,72.2
16.6,8.5,59.5,71.5
16.1,7.9,62.6,74.6
16.2,8.2,64.4,73.4
15.9,6.4,69.2,72.0
15.2,5.2,70.9,65.0
14.1,5.8,71.6,58.0
13.4,4.6,71.7,66.9
13.4,6.1,72.0,62.2
12.8,4.7,72.3,63.0
12.6,3.6,73.3,62.7
11.0,2.3,74.6,41.6
12.5,2.6,71.7,57.3
11.2,2.2,77.6,59.4
10.0,4.7,38.7,64.7
10.1,1.4,38.4,21.5
11.9,4.5,35.4,7.0
9.9,0.7,62.0,3.6
17.4,9.4,60.3,51.0
17.5,9.8,61.7,51.1
16.7,9.5,71.5,43.2
16.0,13.1,72.2,32.6
15.6,25.8,72.8,1.8
15.0,19.2,53.2,0.9
14.9,29.7,43.1,0.2
14.5,28.6,8.8,0.1
14.9,27.1,5.3,0.1
12.7,36.8,4.4,0.1
13.3,40.0,4.0,99.4
15.3,54.7,0.9,99.4
16.3,57.2,0.6,99.4
21.0,59.5,0.4,99.4
17.6,60.3,0.3,99.4
21.6,62.8,0.2,99.4
25.4,64.7,0.1,0.0
26.7,64.5,0.1,0.0
