,OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
"(0.05, 0.025, 1.0)",21.762100000000018,26.505499999999984,57.002300000000034,70.1756
"(0.05, 0.025, 1.5)",22.725800000000014,30.21259999999998,60.19760000000003,75.53180000000002
"(0.05, 0.025, 2.0)",23.73290000000001,34.00839999999999,63.16049999999993,78.61390000000009
"(0.05, 0.025, 2.5)",24.791899999999966,37.37389999999999,65.87300000000008,79.60889999999999
"(0.05, 0.025, 3.0)",25.889699999999994,40.88470000000008,68.23819999999992,79.6726
"(0.05, 0.025, 3.5)",27.051399999999965,43.84230000000006,70.17230000000002,78.91180000000001
"(0.05, 0.025, 4.0)",28.18819999999999,46.42599999999997,71.86320000000002,78.15680000000009
"(0.05, 0.025, 4.5)",29.406900000000004,48.798399999999994,73.07659999999989,76.82119999999998
"(0.05, 0.025, 5.0)",30.617200000000025,50.66319999999996,74.11420000000007,75.86310000000003
"(0.05, 0.025, 5.5)",31.754399999999986,52.34440000000001,75.11780000000003,75.26760000000004
"(0.05, 0.025, 6.0)",33.074799999999996,54.26310000000007,75.86939999999998,74.30990000000017
"(0.05, 0.025, 6.5)",34.24900000000001,56.092299999999994,76.45639999999993,73.63740000000021
"(0.05, 0.025, 7.0)",35.45109999999997,57.164399999999894,76.53119999999994,72.5023000000002
"(0.05, 0.025, 7.5)",36.49210000000002,58.39220000000006,76.76879999999987,72.04430000000025
"(0.05, 0.025, 8.0)",37.636599999999945,59.463799999999935,76.73280000000017,71.36350000000029
"(0.05, 0.025, 8.5)",38.595400000000026,60.5711,76.65399999999997,71.31240000000024
"(0.05, 0.025, 9.0)",39.565799999999975,61.46919999999998,76.78199999999994,71.31090000000023
"(0.05, 0.025, 9.5)",40.54299999999995,62.66840000000009,76.46859999999998,70.69320000000019
"(0.05, 0.05, 1.0)",21.78250000000003,26.588199999999972,56.85239999999996,68.7741
"(0.05, 0.05, 1.5)",22.758300000000002,30.45670000000001,59.851099999999946,74.27349999999993
"(0.05, 0.05, 2.0)",23.821799999999996,34.395300000000006,62.69830000000001,77.6512
"(0.05, 0.05, 2.5)",24.911299999999976,37.96669999999995,65.33910000000006,80.18160000000005
"(0.05, 0.05, 3.0)",26.075799999999973,41.24030000000002,67.62060000000005,81.40319999999998
"(0.05, 0.05, 3.5)",27.286000000000005,44.014400000000016,69.48639999999999,81.90680000000005
"(0.05, 0.05, 4.0)",28.50839999999998,46.61070000000002,71.07539999999993,81.96430000000005
"(0.05, 0.05, 4.5)",29.8157,48.88300000000001,72.50579999999984,81.75540000000005
"(0.05, 0.05, 5.0)",31.134699999999974,50.7483,73.67149999999988,81.76009999999998
"(0.05, 0.05, 5.5)",32.397499999999965,51.571999999999946,74.74849999999994,81.7097000000002
"(0.05, 0.05, 6.0)",33.66569999999999,53.39570000000007,75.7122,81.45040000000003
"(0.05, 0.05, 6.5)",34.976299999999995,54.57339999999993,76.40899999999998,80.91590000000004
"(0.05, 0.05, 7.0)",36.17409999999999,55.0145,77.12849999999992,79.39090000000016
"(0.05, 0.05, 7.5)",37.33180000000003,56.41230000000011,77.6341000000002,78.50050000000012
"(0.05, 0.05, 8.0)",38.37669999999999,57.59569999999999,77.56739999999994,77.92660000000006
"(0.05, 0.05, 8.5)",39.533099999999955,57.76759999999999,78.00149999999998,77.75650000000012
"(0.05, 0.05, 9.0)",40.661799999999985,57.99930000000004,78.49999999999986,77.18930000000017
