ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
88.9,98.9
90.6,98.7
93.1,99.2
95.4,99.2
89.3,99.7
95.6,100.0
92.2,100.0
90.3,100.0
41.0,100.0
68.6,100.0
68.7,100.0
68.7,100.0
67.7,100.0
67.8,100.0
68.3,100.0
65.7,100.0
66.2,100.0
38.2,100.0
88.3,87.9
90.6,98.7
93.4,98.8
1.2,99.1
1.2,99.1
6.1,99.8
0.9,97.2
9.9,100.0
1.4,100.0
58.3,100.0
0.7,100.0
5.1,100.0
5.1,100.0
55.0,100.0
0.7,100.0
5.0,100.0
0.7,100.0
0.6,100.0
87.8,92.1
1.6,66.4
2.7,98.8
1.1,99.1
1.0,99.0
1.0,88.4
0.7,67.5
0.7,99.6
0.8,99.6
0.8,74.8
0.8,74.8
0.7,78.8
0.7,78.8
0.6,78.8
0.5,78.8
14.4,78.8
1.4,75.1
0.6,75.1
88.3,75.8
60.6,58.9
61.6,93.8
1.2,99.1
1.1,99.0
1.1,99.2
0.7,75.0
0.7,75.0
0.7,74.1
0.7,74.1
0.6,74.0
0.8,74.0
1.5,73.9
0.6,73.9
0.8,73.9
0.7,73.9
0.6,73.9
0.5,73.9
44.6,89.5
1.6,64.9
1.1,81.2
1.0,99.1
1.0,99.0
1.1,99.2
1.0,99.2
0.5,98.4
0.7,98.4
0.7,94.3
0.7,98.2
0.6,98.2
0.6,98.2
0.5,98.2
0.5,98.2
0.6,98.2
0.4,99.9
0.5,99.9
58.9,91.7
4.7,94.4
1.1,68.0
1.1,99.0
1.1,99.0
0.9,88.4
0.7,98.0
1.1,98.9
0.7,98.9
1.0,98.9
0.6,98.9
0.5,98.9
0.6,98.9
0.6,98.9
0.5,95.3
0.5,95.3
0.6,91.0
0.8,91.0
61.0,91.7
1.2,96.9
0.7,99.1
1.3,99.0
1.0,99.0
0.8,98.9
0.8,97.8
0.6,62.9
0.7,98.4
0.8,94.2
0.5,94.2
0.2,98.8
0.2,98.8
0.5,98.8
0.5,98.8
0.4,98.8
0.4,98.8
0.2,99.5
59.0,95.2
0.8,93.5
0.8,99.1
1.1,99.0
0.4,98.8
0.7,98.9
0.8,98.9
0.9,98.9
0.7,84.6
0.7,95.2
0.7,98.4
0.5,97.9
0.2,97.9
0.4,97.9
0.3,90.1
0.4,98.4
0.2,98.4
0.1,98.4
60.6,92.3
0.8,94.8
0.8,99.0
0.8,98.8
0.4,98.8
0.8,98.9
0.4,98.9
0.8,98.9
0.6,98.9
0.7,98.9
0.5,98.9
0.2,97.9
0.1,97.9
0.2,97.9
0.2,97.9
0.1,97.9
0.1,97.9
0.2,97.9
44.9,95.3
1.1,87.2
0.7,99.0
0.6,98.8
1.1,98.8
0.8,98.9
0.5,88.4
0.1,98.9
0.7,98.9
0.2,98.9
0.1,98.9
0.1,88.5
0.1,98.9
0.1,98.9
0.2,98.9
0.2,98.9
0.2,98.9
0.1,98.9
1.7,94.4
1.1,90.9
1.1,92.0
0.5,98.8
0.5,98.8
0.1,98.9
0.4,95.1
0.3,95.1
0.6,98.9
0.2,98.9
0.1,98.9
0.1,98.9
0.1,88.7
0.1,98.4
0.1,98.4
0.1,98.4
0.1,98.4
0.1,98.9
1.5,93.3
0.7,97.5
1.1,94.5
0.5,98.8
0.6,98.8
0.7,98.9
0.6,90.8
0.3,89.0
0.7,99.0
0.5,98.9
0.2,98.9
0.2,98.9
0.1,98.9
0.1,98.9
0.1,98.9
0.1,77.9
0.1,77.9
0.1,80.7
1.5,95.6
56.7,97.4
0.9,98.8
0.5,98.8
0.8,98.8
0.2,98.9
0.4,88.6
0.1,99.0
0.1,99.0
0.5,90.0
0.5,98.9
0.1,98.9
0.1,98.9
0.1,98.9
0.1,98.9
0.1,80.0
0.1,98.9
0.1,98.9
1.4,76.3
0.4,88.0
1.8,98.8
0.8,98.8
0.7,98.8
0.2,98.9
0.2,97.6
0.1,99.0
0.1,99.0
0.1,99.0
0.4,97.8
0.2,88.7
0.1,98.6
0.1,88.6
0.1,89.3
0.1,89.3
0.1,89.3
0.1,89.3
1.2,76.3
68.2,97.8
0.3,98.8
0.7,98.8
1.0,98.8
0.5,98.9
0.2,97.6
0.3,99.0
0.1,99.0
0.1,99.0
0.4,97.6
0.1,97.6
0.2,87.8
0.2,98.4
0.1,98.4
0.1,94.2
0.1,93.7
0.1,94.4
2.7,91.3
1.0,77.9
89.2,98.8
0.2,98.8
0.7,98.8
0.6,98.9
0.5,99.0
0.1,99.0
0.1,99.0
0.1,97.6
0.1,97.6
0.1,97.6
0.2,97.6
0.1,97.6
0.1,97.6
0.1,71.9
0.1,90.1
0.1,90.1
47.9,96.1
0.3,98.6
2.6,98.8
0.9,98.8
1.1,98.8
0.8,98.9
0.2,99.0
0.2,99.0
0.1,99.0
0.1,39.3
0.1,29.4
0.4,56.8
0.2,55.2
0.1,78.9
0.1,79.3
0.1,64.4
0.1,71.5
0.1,55.0
64.9,92.6
0.3,98.8
1.2,98.8
1.2,98.8
1.0,98.8
0.5,99.0
0.2,99.0
0.2,99.0
0.1,99.0
0.1,37.0
0.1,75.5
0.2,76.0
0.1,34.1
0.2,34.1
0.2,54.8
0.2,52.9
0.1,52.9
0.1,53.8
32.2,95.8
3.2,98.8
1.4,98.8
0.5,98.8
0.8,98.8
0.7,99.0
0.2,99.0
0.2,99.0
0.2,34.0
0.1,32.4
0.1,43.5
0.1,42.7
0.4,40.6
0.2,39.3
0.2,37.4
0.1,4.8
0.2,4.8
0.1,4.2
