,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.05, 1.0)",69.585,90.72999999999998
"(0.05, 1.5)",66.58599999999998,89.74100000000001
"(0.05, 2.0)",65.78699999999998,88.88000000000001
"(0.05, 2.5)",65.311,85.436
"(0.05, 3.0)",60.20599999999998,83.79600000000002
"(0.05, 3.5)",57.47900000000001,80.27799999999998
"(0.05, 4.0)",59.45099999999999,79.82699999999997
"(0.05, 4.5)",52.81800000000002,78.37999999999998
"(0.05, 5.0)",57.44100000000002,78.31599999999999
"(0.05, 5.5)",55.58900000000003,78.08099999999999
"(0.05, 6.0)",54.501000000000026,77.41999999999999
"(0.05, 6.5)",53.72899999999999,76.452
"(0.05, 7.0)",54.21499999999998,76.45700000000001
"(0.05, 7.5)",56.365,76.78200000000001
"(0.05, 8.0)",55.410000000000004,75.614
"(0.05, 8.5)",57.786,74.647
"(0.05, 9.0)",58.978,74.64300000000001
"(0.05, 9.5)",54.23300000000001,74.64300000000001
"(0.1, 1.0)",69.70599999999999,90.48399999999997
"(0.1, 1.5)",67.70199999999997,90.30600000000001
"(0.1, 2.0)",63.87200000000001,86.24500000000003
"(0.1, 2.5)",57.087999999999994,85.726
"(0.1, 3.0)",57.997000000000014,85.95600000000002
"(0.1, 3.5)",49.89299999999998,85.364
"(0.1, 4.0)",50.91800000000001,84.99000000000001
"(0.1, 4.5)",51.46300000000003,84.576
"(0.1, 5.0)",54.137999999999984,84.18600000000002
"(0.1, 5.5)",50.690999999999974,84.69699999999999
"(0.1, 6.0)",57.053999999999995,82.49199999999998
"(0.1, 6.5)",49.086999999999996,82.40499999999999
"(0.1, 7.0)",50.682999999999986,80.98599999999999
"(0.1, 7.5)",52.84400000000001,81.564
"(0.1, 8.0)",49.42199999999999,81.043
"(0.1, 8.5)",48.327000000000005,81.305
"(0.1, 9.0)",50.220000000000006,82.123
"(0.1, 9.5)",45.61,81.60300000000001
"(0.15, 1.0)",65.407,90.621
"(0.15, 1.5)",64.49300000000001,88.553
"(0.15, 2.0)",58.35500000000002,90.93399999999993
"(0.15, 2.5)",60.187000000000005,83.79699999999998
"(0.15, 3.0)",54.07700000000001,87.51099999999992
"(0.15, 3.5)",51.803999999999995,87.03299999999997
"(0.15, 4.0)",56.57700000000002,81.30900000000001
"(0.15, 4.5)",52.80999999999998,84.14699999999998
"(0.15, 5.0)",52.503000000000014,84.85099999999998
"(0.15, 5.5)",57.855000000000025,82.62999999999998
"(0.15, 6.0)",51.73199999999999,80.65500000000002
"(0.15, 6.5)",50.496000000000016,79.767
"(0.15, 7.0)",52.067,79.62200000000001
"(0.15, 7.5)",47.57000000000001,78.89200000000002
"(0.15, 8.0)",52.102999999999994,78.617
"(0.15, 8.5)",48.505999999999986,77.89600000000003
"(0.15, 9.0)",52.37899999999999,78.79700000000001
